qaccver,PositionSeqPlate,IdentitySample,saccver,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstrand,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Product Name,Subcellular Localization [Confidence Class],Multiple Allignments,Rest of Locus Tag Associated
22CCRAA000_A01_premix,A01,H12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,89.837,246,15,8,101,341,172270,172510,4.77e-84,307.0,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SE']"
22CCRAA000_A03_premix,A03,D10 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,97.466,592,10,5,96,684,12899,12310,0.0,1005.0,minus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_A04_premix,A04,G8 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,420,0,0,102,521,174237,174656,0.0,776.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG', 'PP_23SC']"
22CCRAA000_A05_premix,A05,E7 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,98.217,673,6,5,102,772,950260,949592,0.0,1171.0,minus,PP_0812,CDS,950225.0,951166.0,+,cyoA,cytochrome bo terminal oxidase subunit II,-,False,-
22CCRAA000_A06_premix,A06,H11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,66,0,0,102,167,175102,175167,8.49e-29,122.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_A07_premix,A07,E10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,94.69,339,16,2,30,366,197093,197431,1.31e-149,525.0,plus,PP_0168,CDS,194495.0,220543.0,+,-,putative surface adhesion protein,Extracellular [Class 3],False,-
22CCRAA000_A08_premix,A08,D9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.115,565,5,0,102,666,175422,175986,0.0,1016.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_A09_premix,A09,D8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,509,0,0,59,567,174659,175167,0.0,941.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_A10_premix,A10,A10 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,99.736,759,1,1,88,845,5350351,5349593,0.0,1389.0,minus,PP_4704,CDS,5347527.0,5350463.0,+,-,hypothetical protein,-,False,-
22CCRAA000_B01_premix,B01,G12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,190,0,0,59,248,256694,256505,1.55e-97,351.0,minus,PP_0205,CDS,256315.0,258039.0,+,-,oxidoreductase,-,False,-
22CCRAA000_B02_premix,B02,E11 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,222,0,0,103,324,6070929,6070708,3.3499999999999996e-115,411.0,minus,PP_5325,CDS,6070807.0,6071577.0,-,phoU,phosphate transport-associated protein,-,False,-
22CCRAA000_B03_premix,B03,A10 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,97.323,635,13,3,102,734,4264383,4263751,0.0,1075.0,minus,PP_3736,CDS,4263708.0,4264775.0,+,vanA,vanillate O-demethylase oxygenase subunit,-,False,-
22CCRAA000_B05_premix,B05,D7 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.746,393,1,0,99,491,175647,176039,0.0,721.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_B06_premix,B06,F11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,83.186,113,11,6,107,215,171912,172020,6.840000000000001e-21,97.1,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SD', 'PP_16SE', 'PP_16SF', 'PP_16SG']"
22CCRAA000_B08_premix,B08,C9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,367,0,0,99,465,174659,175025,0.0,678.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_B10_premix,B10,H9 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,98.892,632,7,0,95,726,952811,953442,0.0,1129.0,plus,PP_0813,CDS,951170.0,953188.0,+,cyoB,cytochrome bo terminal oxidase subunit I,-,False,-
22CCRAA000_B12_premix,B12,D5 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,98.394,498,8,0,98,595,697876,698373,0.0,876.0,plus,PP_16SD,rRNA,697824.0,699345.0,+,-,-,-,True,"['PP_16SA', 'PP_16SB', 'PP_16SC', 'PP_16SE', 'PP_16SF', 'PP_16SG']"
22CCRAA000_C01_premix,C01,F12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.454,733,3,1,105,837,12790,13521,0.0,1330.0,plus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_C03_premix,C03,H9 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.002,601,2,4,94,693,13210,13807,0.0,1074.0,plus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_C04_premix,C04,C8 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,97.985,546,5,5,102,644,6114038,6113496,0.0,942.0,minus,PP_5364,CDS,6112871.0,6114316.0,+,clsA,cardiolipin synthase,Cytoplasmic Membrane [Class 3],False,-
22CCRAA000_C05_premix,C05,B11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,94.624,93,5,0,112,204,5244032,5244124,2.27e-35,145.0,plus,PP_4621,CDS,5243180.0,5244481.0,-,hmgA,"homogentisate 1,2-dioxygenase",-,False,-
22CCRAA000_C06_premix,C06,E11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,97.363,531,10,4,97,626,12421,12948,0.0,900.0,plus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_C07_premix,C07,B10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,95.172,435,17,4,54,487,1328506,1328937,0.0,684.0,plus,PP_23SE,rRNA,1327317.0,1330218.0,+,-,-,-,True,"['PP_23SF', 'PP_23SG', 'PP_23SA', 'PP_23SB', 'PP_23SC', 'PP_23SD']"
22CCRAA000_C08_premix,C08,B9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,95.172,145,5,2,104,247,12426,12283,2.7099999999999996e-60,228.0,minus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_C09_premix,C09,B8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,97.978,445,8,1,102,546,734023,733580,0.0,771.0,minus,PP_0626,CDS,734021.0,735316.0,-,ndh,NADH dehydrogenase,-,False,-
22CCRAA000_C10_premix,C10,B9 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,98.519,540,7,1,81,619,5350351,5349812,0.0,952.0,minus,PP_4704,CDS,5347527.0,5350463.0,+,-,hypothetical protein,-,False,-
22CCRAA000_C11_premix,C11,A7 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,95.924,368,9,5,84,448,5797224,5797588,1.57e-169,592.0,plus,PP_5076,CDS,5793454.0,5797899.0,-,gltB,L-glutamate synthase subunit alpha,-,False,-
