DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821096,PP_0001,CDS,147,1019,-,parB,,chromosome-partitioning protein,,,NP_742171.1 ; NP_742171.1,873,290,32.4,6.11,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821098,PP_0002,CDS,1029,1820,-,parA,,chromosome partition protein,,,NP_742172.1 ; NP_742172.1,792,263,28.9,6.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821100,PP_0003,CDS,1839,2489,-,rsmG,,16S RNA methyltransferase,,,NP_742173.1 ; NP_742173.1,651,216,24.1,6.55,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821102,PP_0004,CDS,2486,4381,-,trmF,,tRNA uridine 5-carboxymethylaminomethyl modification protein,,,NP_742174.1 ; NP_742174.1,1896,631,69.6,6.42,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821104,PP_0005,CDS,5012,6382,-,trmE,,GTPase,,,NP_742175.1 ; NP_742175.1,1371,456,49.0,5.15,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821106,PP_0006,CDS,6471,8153,-,oxaA,,membrane protein insertase,,,NP_742176.1 ; NP_742176.1,1683,560,61.9,8.80,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821108,PP_0007,CDS,8156,8401,-,yidD,,hypothetical protein,,,NP_742177.1 ; NP_742177.1,246,81,9.2,8.96,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821110,PP_0008,CDS,8394,8798,-,rnpA,,ribonuclease P protein component,,,NP_742178.1 ; NP_742178.1,405,134,15.0,11.15,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821112,PP_0009,CDS,8812,8946,-,rpmH,,50S ribosomal protein L34,,,NP_742179.1 ; NP_742179.1,135,44,5.1,13.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821114,PP_0010,CDS,9542,11062,+,dnaA,,chromosomal replication initiator protein,,,NP_742180.1 ; NP_742180.1,1521,506,56.5,7.81,
