qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sstrand
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	89.837	246	15	8	101	341	172270	172510	4.77e-84	307	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	89.837	246	15	8	101	341	177700	177940	4.77e-84	307	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	89.837	246	15	8	101	341	525830	526070	4.77e-84	307	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	89.837	246	15	8	101	341	1326384	1326624	4.77e-84	307	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	97.727	176	3	1	101	275	698705	698880	2.22e-82	302	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	97.727	176	3	1	101	275	2549571	2549746	2.22e-82	302	plus
22CCRAA000_A01_premix	refseq|NC_002947.4|chromosome	97.727	176	3	1	101	275	5311800	5311625	2.22e-82	302	minus
22CCRAA000_A03_premix	refseq|NC_002947.4|chromosome	97.466	592	10	5	96	684	12899	12310	0.0	1005	minus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	174237	174656	0.0	776	plus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	179667	180086	0.0	776	plus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	700885	701304	0.0	776	plus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	1328351	1328770	0.0	776	plus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	2551751	2552170	0.0	776	plus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	100.000	420	0	0	102	521	5309555	5309136	0.0	776	minus
22CCRAA000_A04_premix	refseq|NC_002947.4|chromosome	99.762	420	1	0	102	521	527797	528216	0.0	771	plus
22CCRAA000_A05_premix	refseq|NC_002947.4|chromosome	98.217	673	6	5	102	772	950260	949592	0.0	1171	minus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	175102	175167	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	180532	180597	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	528662	528727	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	701750	701815	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	1329216	1329281	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	2552616	2552681	8.49e-29	122	plus
22CCRAA000_A06_premix	refseq|NC_002947.4|chromosome	100.000	66	0	0	102	167	5308690	5308625	8.49e-29	122	minus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	94.690	339	16	2	30	366	197093	197431	1.31e-149	525	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	94.304	316	18	0	51	366	196516	196831	2.22e-137	484	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	93.671	316	20	0	51	366	196816	197131	4.80e-134	473	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	93.910	312	19	0	51	362	197416	197727	1.72e-133	472	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	92.722	316	23	0	51	366	196216	196531	4.83e-129	457	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	92.628	312	23	0	51	362	195916	196227	8.08e-127	449	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	90.746	335	29	2	30	362	195593	195927	1.05e-125	446	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	92.256	297	21	2	67	362	195332	195627	6.34e-118	420	plus
22CCRAA000_A07_premix	refseq|NC_002947.4|chromosome	87.143	280	34	2	51	329	197716	197994	8.55e-87	316	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	175422	175986	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	180852	181416	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	528982	529546	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	702070	702634	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	1329536	1330100	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	2552936	2553500	0.0	1016	plus
22CCRAA000_A08_premix	refseq|NC_002947.4|chromosome	99.115	565	5	0	102	666	5308370	5307806	0.0	1016	minus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	100.000	509	0	0	59	567	174659	175167	0.0	941	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	100.000	509	0	0	59	567	180089	180597	0.0	941	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	100.000	509	0	0	59	567	528219	528727	0.0	941	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	100.000	509	0	0	59	567	701307	701815	0.0	941	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	99.804	509	1	0	59	567	1328773	1329281	0.0	935	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	99.804	509	1	0	59	567	2552173	2552681	0.0	935	plus
22CCRAA000_A09_premix	refseq|NC_002947.4|chromosome	99.804	509	1	0	59	567	5309133	5308625	0.0	935	minus
22CCRAA000_A10_premix	refseq|NC_002947.4|chromosome	99.736	759	1	1	88	845	5350351	5349593	0.0	1389	minus
22CCRAA000_B01_premix	refseq|NC_002947.4|chromosome	100.000	190	0	0	59	248	256694	256505	1.55e-97	351	minus
22CCRAA000_B02_premix	refseq|NC_002947.4|chromosome	100.000	222	0	0	103	324	6070929	6070708	3.35e-115	411	minus
22CCRAA000_B03_premix	refseq|NC_002947.4|chromosome	97.323	635	13	3	102	734	4264383	4263751	0.0	1075	minus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	175647	176039	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	181077	181469	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	529207	529599	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	702295	702687	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	1329761	1330153	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	2553161	2553553	0.0	721	plus
22CCRAA000_B05_premix	refseq|NC_002947.4|chromosome	99.746	393	1	0	99	491	5308145	5307753	0.0	721	minus
